map_id,template_no,question,ground_truth,c_or_d,relative_region
98,43,"Rank the states Illinois, Indiana, and Ohio in terms of the legend value in the Great Lakes region?",Indiana < Ohio < Illinois,c,Y
65,11,Which states in west coast region belong to range > 60k?,California,c,N
65,15,List the northern most state with the highest value.,New York,c,N
65,9,Does state Montana fall in range 0-10k?,Yes,c,N
65,19,Yes or no: the value of the state Maine is higher to state Louisiana.,No,c,N
65,21,Yes or no: Washington has the highest value along the western coast.,No,c,N
65,31,Yes or no: a majority of states bordering Canada have values lower than Florida.,Yes,c,N
65,42,Yes/No: Illinois has a similar value as Texas and also have a higher value than Nevada.,No,c,N
65,23,How many states bordering Lake Michigan have a value higher than 50k?,0,c,N
65,13,Which state has the second highest value in the west coast region?,Washington,c,N
65,36,Name the northern most state in the range 50-60k.,New York,c,N
65,43,"Rank the states Vermont, New York, and Michigan in terms of the legend value in the Canada Border region?",Vermont < Michigan < New York,c,Y
20787,16,What value range does state Mississippi fall in?,627600 - 960700,d,N
20787,2,Yes or no: in the legend the colour darkness inversely proportional to the value.,No,d,N
20787,27,Which states neighbouring New Mexico have a value lower than New York?,"Arizona, Colorado, Oklahoma",d,N
20787,4,What value range does the second lightest shade represent?,248200 - 588000,d,N
20787,1,How many distinct categories does the legend contain?,4,d,N
20787,37,Which state in the east coast borders at least two states from the range 13500-240200?,Virginia,d,Y
20787,39,Yes or no: all states bordering Florida have values in the same range.,No,d,Y
20787,18,Yes or no: the value of the state Utah is lower than its neighbouring state Arizona.,Yes,d,N
20787,3,What is the overall range of the legend?,13500 - 3412900,d,N
20787,20,Name the state on the west coast that belongs to a similar value range compared to atleast 2 of its neighbours.,Oregon,d,Y
20787,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,d,N
20787,9,"Does Tennessee fall in range 627,600 - 960,700?",No,d,N
20787,7,Is the legend discrete or continuous?,Discrete,d,N
15641,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,d,N
15641,15,Which states bordering Lake Huron have the highest value?,Michigan,d,N
15641,7,Is the legend discrete or continuous?,Discrete,d,N
15641,37,Which state along the east coast in the second least range borders atleast 2 states from the lowest range?,"Pennsylvania, Vermont, Delaware",d,Y
15641,20,Name the western-most state that belongs to a lower value range compared to all its neighbours.,California,d,Y
15641,11,Which states along the Mexico border belong to the range 15.4-21.8?,"Arizona, New Mexico",d,N
15641,40,Which pair of states on the Canada border belonging to the highest range are the closest to each other?,"Idaho, Montana",d,N
15641,3,What is the overall range of the legend?,5.4-21.8,d,N
15641,5,Yes or no: the legend has different shades of the same colour?,No,d,N
15641,28,Which state bordering Lake Superior has the same value as New York?,,d,N
15641,33,Yes or no: Iowa and Missouri are the pair of bordering states with the highest difference.,No,d,Y
20556,33,Yes or no: Iowa and Missouri are a pair of bordering states with the least difference.,Yes,d,Y
20556,26,Which states along the east coast have a value same as California?,North Carolina,d,N
20556,9,"Does Florida fall in range 91,400-2,51,500?",No,d,N
20556,8,Which class has the largest range of values?,91400 - 251500,d,N
20556,22,Yes or no: States of the west coast have higher values on average than states of the east coast.,Yes,d,N
20556,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,d,N
20556,34,Yes or no: California is the western-most state that has a higher value compared to all its neighbours.,No,d,Y
20556,36,"Name the northern most state in the range 1400-18,900.",Maine,d,N
20556,40,Which states belonging to the highest range are the closest to each other along the Mexico border?,"California, Arizona, New Mexico",d,N
20556,37,Which states have missing data?,Vermont,d,N
20556,7,Is the legend discrete or continuous?,Discrete,d,N
7,29,Which range has the highest number of states?,2112-14236,d,N
7,18,Yes or no: the value of Georgia is higher than its neighbouring state South Carolina.,No,d,N
7,31,Yes or no: a majority of states in east coast belong to the least range.,No,d,N
7,42,Yes/No: Illinois has a higher value than Maine and a lower value than New York.,Yes,d,N
7,35,How many states have a value similar to Texas?,4,d,N
7,19,Yes or no: the value of the state North Dakota is lower than Rhode Island.,No,d,N
7,4,What value range does the darkest shade represent?,62608-132336,d,N
7,37,Which states have missing data?,,d,N
7,7,Is the legend discrete or continuous?,Discrete,d,N
7,21,Yes or no: Alaska has the same value as North Dakota.,Yes,d,N
7,43,"Rank the states Texas, New Mexico, and Arizona in terms of the legend value in the Mexico Border region?",New Mexico < Arizona < Texas,d,Y
13283,35,How many states have a value similar to Texas?,2,c,N
13283,12,What is the least value range in the west coast region?,0-2M,c,N
13283,7,Is the legend discrete or continuous?,Continuous,c,N
13283,32,Yes or no: California is an outlier compared to other states in the west coast region.,Yes,c,N
13283,32,Yes or no: Georgia is an outlier compared to other states in the east coast region.,No,c,N
13283,11,Which states along the Mexico border belong to the range 10-12M?,Texas,c,N
13283,33,Yes or no: California and Oregon are the pair of bordering states with the highest difference.,Yes,c,Y
13283,39,Yes or no: all states along the Canada border have values in range 14-16M.,No,c,N
13283,16,What value range does state New York fall in?,10M - 12M,c,N
13283,15,List the states in the west coast region with the highest value.,California,c,N
20517,3,What is the overall range of the legend?,6.1% - 17.0%,d,N
20517,26,Which states in the west coast region have a value higher than 12.7%?,Oregon,d,N
20517,5,Yes or no: the legend has different shades of the same colour?,No,d,N
20517,34,Yes or no: North Dakota is the North most state that has a similar value compared to all its neighbours.,No,d,Y
20517,6,Yes or no: the map depicts percentages.,Yes,d,N
20517,13,Which state has the second highest value along the west coast?,California and Washington,d,N
20517,29,Which range has the least number of states?,6.1% - 8.0%,d,N
20517,30,Does Texas have the same value as New Mexico amongst the states along the Mexico border.,Yes,d,N
20517,37,Which state along Canada borders only states from range 12.7-17%?,Washington,d,N
20517,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,d,N
20517,41,Are the legends evenly spaced?,No,d,N
20517,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,d,N
20517,16,What value range does state Maine fall in?,8.2% - 10.4%,d,N
19332,15,Which state on the West Coast has the highest value?,Oregon,d,N
19332,7,Is the legend discrete or continuous?,Discrete,d,N
19332,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,Yes,d,N
19332,19,Yes or no: the value of  Florida is higher than Maine.,Yes,d,N
19332,21,Yes or no: Oregon has the least value along the west coast.,No,d,N
19332,20,Name the westmost state that belongs to a higher value range compared to all its neighbours.,Idaho,d,Y
19332,35,How many states along the east coast have a value similar to California?,6,d,N
19332,18,Yes or no: the value of the state California is higher than its neighbouring state Oregon.,No,d,N
19332,36,Name the southern-most state in the range 950-1400.,Utah,d,N
19332,31,Yes or no: a majority of states in bordering Texas belong to range 950-1400.,No,d,Y
19332,4,What value range does the lightest shade represent?,2980 - 6320,d,N
18501,15,Which state on the east coast has the highest value?,"New York, Florida",d,N
18501,7,Is the legend discrete or continuous?,Discrete,d,N
18501,4,What value range does the second lightest shade represent?,64200 - 131600,d,N
18501,41,Are the legends evenly spaced?,No,d,N
18501,28,Which state along the Mexico border has the same value as Idaho?,New Mexico,d,N
18501,22,Yes or no: States bordering the Great Lakes have lower values on average than states bordering Great Salt Lake.,No,d,N
18501,27,Which states in the east coast region have a value same as Texas?,"New York, Florida",d,N
18501,42,Yes/No: New York has a higher value than West Virginia and also have a higher value than Colorado.,Yes,d,N
18501,9,Does South Carolina fall in the range 138100-228700?,No,d,N
18501,35,How many states bordering Canada have a value similar to Texas?,1,d,N
340,8,Which class has the largest range of values?,5% - 7%,d,N
340,19,Yes or no: the value of Colorado is higher than New York.,No,d,N
340,19,Yes or no: the value of  Florida is lower than Texas.,Yes,d,N
340,41,Are the legends evenly spaced?,No,d,N
340,22,Yes or no: States bordering Texas have similar values on average to states bordering Louisiana.,Yes,d,Y
340,11,Which states along the Mexico border belong to range 5-7%?,"California, Texas, New Mexico",d,N
340,11,Which states along the Canada border belong to range 5-7%?,"Montana, New York",d,N
340,33,Yes or no: New Mexico and Colorado are the pair of bordering states along the West Coast with the highest difference.,No,d,N
340,29,Which range has the least number of states?,2%,d,N
340,21,Yes or no: California has the highest value along the west coast.,Yes,d,N
340,43,"Rank the states California, Oregon, and Alaska in terms of the legend value in the West Coast region?",Alaska < Oregon < California,d,Y
18402,18,Yes or no: the value of the state New Hampshire is higher than its neighbouring state Vermont.,Yes,c,N
18402,15,Which state along the Canada border region has the lowest value?,Maine,c,N
18402,7,Is the legend discrete or continuous?,Continuous,c,N
18402,42,Yes/No: California has a similar value as Florida and also have a higher value than Maine.,No,c,N
18402,12,What is the least value range in the west coast region?,<0.05,c,N
18402,28,Which state along the Canada border has the same value as Arkansas?,North Dakota,c,N
18402,26,Which states along the Mexico border have value lower than 0.05?,"California, Arizona, Texas",c,N
18402,16,What value range does state Wisconsin fall in?,0.15 - 0.2,c,N
18402,6,Yes or no: the map depicts percentages.,No,c,N
18402,18,Yes or no: the value of North Carolina is similar to its neighbouring state South Carolina.,No,c,N
16686,15,Which state on the Canada border has the highest value?,Minnesota,d,N
16686,7,Is the legend discrete or continuous?,Discrete,d,N
16686,5,Yes or no: the legend has different shades of the same colour?,No,d,N
16686,37,Which states along the west coast in range 6-8% borders only one state from range 6-8%?,"California, Washington",d,Y
16686,36,Name the Northmost state in the highest range.,Alaska,d,N
16686,3,What is the overall range of the legend?,6% - 18%,d,N
16686,4,What value range does the darkest shade represent?,13% - 18%,d,N
16686,1,How many distinct categories does the legend contain?,5,d,N
16686,32,Yes or no: Washinton is an outlier compared to other states in the west coast.,No,d,N
16686,30,Does state California have the same value as Oregon amongst the states in the west coast region.,Yes,d,N
20746,18,Yes or no: the value of the state South Dakota is lower than its neighbouring state Montana.,No,c,N
20746,7,Is the legend discrete or continuous?,Continuous,c,N
20746,36,Which is the westernmost state with a value in the range 0.1-0.2?,California,c,N
20746,36,Which is the northern most state with a value in the range 0.4-0.5?,Montana,c,N
20746,16,What value range does state North Dakota fall in?,0.8-0.9,c,N
20746,34,Yes or no: Maine is the northmost state that has a similar value compared to all its neighbours.,No,c,Y
20746,26,Which states bordering the Great Lakes have a value in the range 0.7-0.8?,Minnesota,c,N
20746,31,Yes or no: a majority of states in the west coast region belong to range 0.1-0.2.,Yes,c,N
20746,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,c,N
20746,15,List the state bordering Canada with the highest value.,North Dakota,c,N
1034,21,Yes or no: Minnesota has the highest value along the Canada border.,Yes,c,N
1034,9,Does California fall in range 0.4-0.45?,No,c,N
1034,5,Yes or no: the legend has different shades of the same colour?,Yes,c,N
1034,27,Which states along the Mexico border have a value similar to Alaska?,,c,N
1034,18,Yes or no: the value of North Dakota is similar to its neighbouring state South Dakota.,Yes,c,N
1034,37,Which states have missing data?,,c,N
1034,36,Name the Northmost state in the range 0.4-0.45.,Minnesota,c,N
1034,20,Name the Southmost state that belongs to a higher value range compared to all its neighbours.,Florida,c,Y
1034,33,Yes or no: Texas and Oklahoma are the pair of bordering states with the highest difference.,No,c,Y
1034,6,Yes or no: the map depicts percentages.,No,c,N
15950,4,What value range does the darkest shade represent?,60% - 117%,d,N
15950,42,Yes/No: Oregon has a higher value than North Dakota and also a higher value than Illinois.,No,d,N
15950,35,How many states bordering Florida have a value higher than Minnesota?,0,d,Y
15950,7,Is the legend discrete or continuous?,Discrete,d,N
15950,29,Which range has the highest number of states?,0% - 23%,d,N
15950,30,Does Oregon have the same value as Florida.,No,d,N
15950,28,Which state bordering Wyoming has the same value as Nevada?,"Montana, Colorado",d,Y
15950,34,Yes or no: North Dakota is the northern most state that has a higher value compared to all its neighbours.,No,d,Y
15950,9,Does Nevada fall in range 60-117%?,Yes,d,N
15950,32,Yes or no: California is an outlier compared to other states in the west coast region.,No,d,N
14414,7,Is the legend discrete or continuous?,Discrete,d,N
14414,12,What is the highest value range in the region around the Great Lakes?,13.2% - 21.1%,d,N
14414,19,Yes or no: the value of Georgia is higher than Washington.,Yes,d,N
14414,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,d,N
14414,16,What value range does state California fall in?,2.9% - 4.5%,d,N
14414,41,Are the legends evenly spaced?,No,d,N
14414,31,Yes or no: a majority of states in the south east region belong to the highest range.,Yes,d,N
14414,6,Yes or no: the map depicts percentages.,Yes,d,N
14414,3,What is the overall range of the legend?,4.5% - 50.6%,d,N
14414,4,What value range does the second lightest shade represent?,6.7% - 12.7%,d,N
104,11,Which states in the west coast region belong to the highest range?,,d,N
104,11,Which states in the west coast region belong to the second highest range?,"Washington, Oregon",d,N
104,11,Which states in the west coast region belong to the lowest range?,,d,N
104,11,Which states in the east coast region belong to the highest range?,"Florida, Georgia, New York",d,N
104,15,List the states along the Canada border with the highest values.,New york,d,N
104,36,Name the N-most state in the range 6.8-10.5.,Maine,d,N
104,3,What is the overall range of the legend?,2.4 - 25.3,d,N
104,12,What is the highest value range in the region aroung the Great Lakes?,14.8 - 25.3,d,N
104,37,Which state in the highest range borders at least 1 state with missing data?,Nevada,d,Y
104,30,Does Idaho have the same value as Wisconsin.,Yes,d,N
104,43,"Rank the states North Carolina, South Carolina, and Virginia in terms of the legend value in the East Coast region?",South Carolina < Virginia < North Carolina,d,Y
10436,9,Does New York fall in range above 20%?,Yes,d,N
10436,35,How many states bordering Illinois have a value similar to South Carolina?,2,d,Y
10436,28,Which state bordering New Mexico has the same value as Montana?,Utah,d,Y
10436,6,Yes or no: the map depicts absolute values.,No,d,N
10436,26,Which states along Canada border have a value lower than 13.6%?,"New Hampshire, Montana, North Dakota",d,N
10436,39,Yes or no: all states in the west caost region have values in the highest range.,No,d,N
10436,18,Yes or no: the value of the Louisiana is similar to its neighbouring state Arkansas.,Yes,d,N
10436,4,What value range does the darkest shade represent?,10.2-13.6%,d,N
10436,1,How many distinct categories does the legend contain?,4,d,N
10436,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,No,d,N
13,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,c,N
13,7,Is the legend discrete or continuous?,Continuous,c,N
13,9,Does Maine fall in the lowest range?,No,c,N
13,16,What value range does state Texas fall in?,0.15-0.2,c,N
13,33,Yes or no: Georgia and South Carolina are a pair of bordering states with the highest difference.,No,c,Y
13,34,Yes or no: New York is the N-most state that has a higher value compared to all its neighbours.,No,c,Y
13,41,Are the legends evenly spaced?,Yes,c,N
13,27,Which states bordering Mexico have a value similar to Florida?,,c,N
13,21,Yes or no: Maine has the highest value along the Canda border.,No,c,N
13,5,Yes or no: the legend has different shades of the same colour?,Yes,c,N
13,43,"Rank the states Montana, North Dakota, and Minnesota in terms of the legend value in the Canada Border region?",North Dakota < Minnesota < Montana,c,Y
9,7,Is the legend discrete or continuous?,Continuous,c,N
9,19,Yes or no: the value of Texas is similar to Minnesota.,No,c,N
9,42,Yes/No: New York has a lower value than Maine and also have a higher value than Florida.,No,c,N
9,20,Name the N-most state that belongs to a higher value range compared to all its neighbours.,New York,c,Y
9,22,Yes or no: States bordering the Great Lakes have lower values on average than California.,Yes,c,N
9,37,Which states have missing data?,,c,N
9,35,How many states bordering Mexico have a value similar to Idaho?,1,c,N
9,21,Yes or no: Oklahoma has higher value than Maine.,No,c,N
9,15,Which state on the Canada border has the highest value?,New York,c,N
9,41,Are the legends evenly spaced?,Yes,c,N
9,43,"Rank the states New York, Florida, and Massachusetts in terms of the legend value in the East Coast region?",Massachusetts < Florida < New York,c,Y
910,4,What value range does the darkest shade represent?,>0.035,c,N
910,4,What value range does the lightest shade represent?,<0.015,c,N
910,4,What value range does the second lightest shade represent?,0.015-0.02,c,N
910,26,Which states on the east coast have a value lower than 0.015?,Virginia,c,N
910,26,Which states on the west coast have a value lower than 0.015?,,c,N
910,18,Yes or no: the value of California is higher than its neighbouring state New York,No,c,N
910,13,Which state has the leasest value in the west coast region?,California,c,N
910,22,Yes or no: States along Canada border have higher values on average than states bordering Mexico.,Yes,c,N
910,30,Does Nebraska have the same value as Texas.,Yes,c,N
910,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,c,N
910,43,"Rank the states Pennsylvania, New York, and Ohio in terms of the legend value in the Great Lakes region?",Ohio < Pennsylvania < New York,c,Y
8213,35,How many states bordering California have a value higher than Texas?,0,c,Y
8213,21,Yes or no: Massachusetts has the least value in the east coast region.,Yes,c,N
8213,11,Which states bordering Mexico belong to range > 0.3?,Texas,c,N
8213,5,Yes or no: the legend has different shades of the same colour?,Yes,c,N
8213,39,Yes or no: all states on the west coast have values above 0.2,Yes,c,N
8213,9,Does Michigan fall in range 0.25-0.3?,No,c,N
8213,7,Is the legend discrete or continuous?,Continuous,c,N
8213,20,Name the state on the east coast that belongs to a higher value range compared to all its neighbours.,Florida,c,Y
8213,34,Yes or no: New Mexico is the southern-most state that has a higher value compared to all its neighbours.,No,c,N
8213,27,Which states bordering North Dakota have a value similar to Maine?,,c,Y
16717,18,Yes or no: the value of the state Utah is lower than its neighbouring state Colorado.,Yes,d,N
16717,7,Is the legend discrete or continuous?,Discrete,d,N
16717,21,Yes or no: Washington has the same value as Texas.,No,d,N
16717,42,Yes/No: Maine has a similar value as Alabama and also have a similar value as Kansas.,Yes,d,N
16717,41,Are the legends evenly spaced?,No,d,N
16717,33,Yes or no: Idaho and Florida are the pair of bordering states with the highest difference.,No,d,Y
16717,16,What value range does Florida fall in?,380-698,d,N
16717,29,Which range has the least number of states?,"730-1145, 380-698",d,N
16717,15,List the state(s) in the west coast region with the highest value.,California,d,N
16717,1,How many distinct categories does the legend contain?,5,d,N
1280,42,Yes/No: Kentucky has a similar value as Virginia and also have a similar value as Illinois.,Yes,d,N
1280,3,What is the overall range of the legend?,6.8% - 15.9%,d,N
1280,34,Yes or no: Minnesota is the northern-most state that has a similar value compared to all its neighbours.,Yes,d,Y
1280,4,What value range does the darkest shade represent?,14-15.9%,d,N
1280,4,What value range does the lightest shade represent?,6.8-9.7%,d,N
1280,1,How many distinct categories does the legend contain?,4,d,N
1280,36,Name the N-most state in the range 14-15.9%.,Idaho,d,N
1280,15,List the state without any international border with the highest value.,Missouri,d,N
1280,13,Which state has the second highest value along the Canada border?,Washington,d,N
1280,11,Which states bordering Mexico belong to range 9.9-11.8%?,California,d,N
1280,43,"Rank the states New York, Pennsylvania, and New Jersey in terms of the legend value in the Atlantic region?",New York < New Jersey < Pennsylvania,d,Y
8543,12,What is the least value range among the states bordering Arizona?,0%,d,Y
8543,6,Yes or no: the map depicts percentages.,Yes,d,N
8543,20,Name the northern most state that belongs to a similar value range compared to all its neighbours.,Michigan,d,Y
8543,31,Yes or no: a majority of states bordering Mexico belong to range 97-100%.,Yes,d,N
8543,30,Does Florida have the same value as Texas amongst the southern states.,Yes,d,N
8543,5,Yes or no: the legend has multiple colours?,Yes,d,N
8543,41,Are the legends evenly spaced?,No,d,N
8543,40,Name a pair of states belonging to the second highest range are the closest to each other?,"Vermont, Rhode Island",d,N
8543,33,Yes or no: North Dakota and Montana are the pair of bordering states with the highest difference.,No,d,Y
8543,7,Is the legend discrete or continuous?,Discrete,d,N
4270,39,Yes or no: all states bordering Texas have values in the same range.,No,d,Y
4270,28,Which state bordering Colorado has the same value as Texas?,Arizona,d,Y
4270,2,Yes or no: in the legend the colour intensity is directly proportional to the value.,Yes,d,N
4270,19,Yes or no: the value of Nevada is higher than California.,Yes,d,N
4270,22,Yes or no: States bordering Canada have higher values on average than states bordering Mexico.,Yes,d,N
4270,32,Yes or no: Idaho is an outlier compared to other states bordering Canada.,No,d,N
4270,7,Is the legend discrete or continuous?,Discrete,d,N
4270,16,What value range does New York fall in?,1603-1819,d,N
4270,21,Yes or no: Pennsylvania has the highest value among the states bordering the Great Lakes.,No,d,N
4270,18,Yes or no: the value of Florida is similar to its neighbouring state Georgia.,Yes,d,N
18348,6,Yes or no: the map depicts percentages.,Yes,d,N
18348,12,What is the highest value range in the west coast region?,54-62.6%,d,N
18348,32,Yes or no: Minnesota is an outlier compared to other states bordering Canada.,Yes,d,N
18348,8,Which class has the largest range of values?,37.1-52.9%,d,N
18348,29,Which range has the least number of states?,37.1-52.9%,d,N
18348,27,Which states in the north east region has the similar valua as Montana?,"New York, Vermont, Massachusetts, Rhode Island",d,N
18348,36,Name the southern most state in the range 63.2-74%.,Texas,d,N
18348,22,Yes or no: States in the west coast have lower values on average than states in the east coast.,Yes,d,N
18348,13,Which state has the least value in the west coast?,California,d,N
18348,2,Yes or no: in the legend the colour intensity is inversely proportional to the value.,No,d,N
6616,21,Yes or no: Idaho has higher value as Colorado.,No,d,N
6616,16,What value range does state Indiana fall in?,39.4 - 43.7%,d,N
6616,20,Name the southern-most state that belongs to a similar value range compared to all its neighbours.,Florida,d,Y
6616,42,Yes/No: Florida has a similar value as Illinois and also have a higher value than New York.,No,d,N
6616,9,Does New York fall in range 30.9%?,No,d,N
6616,35,How many states bordering California have a value similar to North Carolina?,2,d,Y
6616,27,Which states bordering Mexico have a value higher than Kansas?,"California, Texas, New Mexico",d,N
6616,19,Yes or no: the value of Georgia is similar to Texas.,Yes,d,N
6616,3,What is the overall range of the legend?,30.9-50.4%,d,N
6616,41,Are the legends evenly spaced ?,No,d,N
6616,43,"Rank the states Texas, Montana, and Minnesota in terms of the legend value in the Border States region?",Minnesota < Montana < Texas,d,Y
30,18,Yes or no: the value of Ohio is lower than its neighbouring state West Virginia.,No,d,N
30,11,Which states bordering the Great Lakes belong to the range 74400-93200?,Illinois,d,N
30,4,What value range does the second darkest shade represent?,74400-93200,d,N
30,33,Yes or no: Montana and Wyoming are a pair of bordering states with the highest difference.,No,d,Y
30,28,Which state along the Canada border has the same value as Louisiana?,"Washington, Michigan, Ohio, Pennsylvania",d,N
30,16,What value range does Florida fall in?,134900-293900,d,N
30,39,Yes or no: all states bordering Montanahave values in range 3800-31500,Yes,d,Y
30,5,Yes or no: the legend has multiple distinct colours?,Yes,d,N
30,7,Is the legend discrete or continuous?,Discrete,d,N
30,15,List the state bordering New Mexico with the highest value.,Texas,d,Y
30,43,"Rank the states Maine, Georgia, and Florida in terms of the legend value in the East Coast region?",Maine < Georgia < Florida,d,Y
19,21,Yes or no: Texas has the least value in the southern region.,No,d,N
19,30,Does Florida have the same value as New York amongst the east coast states?,Yes,d,N
19,31,"Yes or no: a majority of states bordering Canada belong to range 5,69,400-3,030,400.",Yes,d,N
19,1,How many distinct categories does the legend contain?,4,d,N
19,34,Yes or no: New York is the northern-most state that has a higher value compared to all its neighbours.,Yes,d,Y
